timestamp,label,modules_used,POSIX_OPENS,POSIX_READS,POSIX_WRITES,POSIX_SEEKS,POSIX_STATS,POSIX_MMAPS,POSIX_FSYNCS,POSIX_FDSYNCS,POSIX_BYTES_READ,POSIX_BYTES_WRITTEN,POSIX_CONSEC_READS,POSIX_CONSEC_WRITES,POSIX_SEQ_READS,POSIX_SEQ_WRITES,POSIX_RW_SWITCHES,POSIX_MEM_NOT_ALIGNED,POSIX_MEM_ALIGNMENT,POSIX_FILE_NOT_ALIGNED,POSIX_FILE_ALIGNMENT,POSIX_MAX_READ_TIME_SIZE,POSIX_MAX_WRITE_TIME_SIZE,POSIX_SIZE_READ_0_100,POSIX_SIZE_READ_100_1K,POSIX_SIZE_READ_1K_10K,POSIX_SIZE_READ_10K_100K,POSIX_SIZE_READ_100K_1M,POSIX_SIZE_READ_1M_4M,POSIX_SIZE_READ_4M_10M,POSIX_SIZE_READ_10M_100M,POSIX_SIZE_READ_100M_1G,POSIX_SIZE_READ_1G_PLUS,POSIX_SIZE_WRITE_0_100,POSIX_SIZE_WRITE_100_1K,POSIX_SIZE_WRITE_1K_10K,POSIX_SIZE_WRITE_10K_100K,POSIX_SIZE_WRITE_100K_1M,POSIX_SIZE_WRITE_1M_4M,POSIX_SIZE_WRITE_4M_10M,POSIX_SIZE_WRITE_10M_100M,POSIX_SIZE_WRITE_100M_1G,POSIX_SIZE_WRITE_1G_PLUS,POSIX_STRIDE1_STRIDE,POSIX_STRIDE2_STRIDE,POSIX_STRIDE3_STRIDE,POSIX_STRIDE4_STRIDE,POSIX_STRIDE1_COUNT,POSIX_STRIDE2_COUNT,POSIX_STRIDE3_COUNT,POSIX_STRIDE4_COUNT,POSIX_F_OPEN_START_TIMESTAMP,POSIX_F_OPEN_END_TIMESTAMP,POSIX_F_READ_START_TIMESTAMP,POSIX_F_READ_END_TIMESTAMP,POSIX_F_WRITE_START_TIMESTAMP,POSIX_F_WRITE_END_TIMESTAMP,POSIX_F_CLOSE_START_TIMESTAMP,POSIX_F_CLOSE_END_TIMESTAMP,POSIX_F_READ_TIME,POSIX_F_WRITE_TIME,POSIX_F_META_TIME,POSIX_F_MAX_READ_TIME,POSIX_F_MAX_WRITE_TIME,MPIIO_INDEP_OPENS,MPIIO_COLL_OPENS,MPIIO_INDEP_READS,MPIIO_INDEP_WRITES,MPIIO_COLL_READS,MPIIO_COLL_WRITES,MPIIO_SPLIT_READS,MPIIO_SPLIT_WRITES,MPIIO_NB_READS,MPIIO_NB_WRITES,MPIIO_SYNCS,MPIIO_BYTES_READ,MPIIO_BYTES_WRITTEN,MPIIO_RW_SWITCHES,MPIIO_MAX_READ_TIME_SIZE,MPIIO_MAX_WRITE_TIME_SIZE,MPIIO_SIZE_READ_AGG_0_100,MPIIO_SIZE_READ_AGG_100_1K,MPIIO_SIZE_READ_AGG_1K_10K,MPIIO_SIZE_READ_AGG_10K_100K,MPIIO_SIZE_READ_AGG_100K_1M,MPIIO_SIZE_READ_AGG_1M_4M,MPIIO_SIZE_READ_AGG_4M_10M,MPIIO_SIZE_READ_AGG_10M_100M,MPIIO_SIZE_READ_AGG_100M_1G,MPIIO_SIZE_READ_AGG_1G_PLUS,MPIIO_SIZE_WRITE_AGG_0_100,MPIIO_SIZE_WRITE_AGG_100_1K,MPIIO_SIZE_WRITE_AGG_1K_10K,MPIIO_SIZE_WRITE_AGG_10K_100K,MPIIO_SIZE_WRITE_AGG_100K_1M,MPIIO_SIZE_WRITE_AGG_1M_4M,MPIIO_SIZE_WRITE_AGG_4M_10M,MPIIO_SIZE_WRITE_AGG_10M_100M,MPIIO_SIZE_WRITE_AGG_100M_1G,MPIIO_SIZE_WRITE_AGG_1G_PLUS,MPIIO_F_OPEN_START_TIMESTAMP,MPIIO_F_OPEN_END_TIMESTAMP,MPIIO_F_READ_START_TIMESTAMP,MPIIO_F_READ_END_TIMESTAMP,MPIIO_F_WRITE_START_TIMESTAMP,MPIIO_F_WRITE_END_TIMESTAMP,MPIIO_F_CLOSE_START_TIMESTAMP,MPIIO_F_CLOSE_END_TIMESTAMP,MPIIO_F_READ_TIME,MPIIO_F_WRITE_TIME,MPIIO_F_META_TIME,MPIIO_F_MAX_READ_TIME,MPIIO_F_MAX_WRITE_TIME,STDIO_OPENS,STDIO_READS,STDIO_WRITES,STDIO_FLUSHES,STDIO_BYTES_WRITTEN,STDIO_BYTES_READ,STDIO_F_META_TIME,STDIO_F_WRITE_TIME,STDIO_F_READ_TIME,STDIO_F_OPEN_START_TIMESTAMP,STDIO_F_OPEN_END_TIMESTAMP,STDIO_F_READ_START_TIMESTAMP,STDIO_F_READ_END_TIMESTAMP,STDIO_F_WRITE_START_TIMESTAMP,STDIO_F_WRITE_END_TIMESTAMP,STDIO_F_CLOSE_START_TIMESTAMP,STDIO_F_CLOSE_END_TIMESTAMP
2026-02-21T03:00:05.191787,write_heavy_run1,posix,1,0,10000,10000,0,-1,1,0,0,655360000,0,9999,0,9999,0,0,8,8750,524288,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010190010070800781,0.0026013851165771484,0.0,0.0,0.01439666748046875,2.689990520477295,2.749924898147583,2.7515249252319336,0.0,2.7321529388427734,0.00444483757019043,0.0,0.031045913696289062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-21T03:00:08.876099,write_heavy_run2,posix,1,0,10000,10000,0,-1,1,0,0,655360000,0,9999,0,9999,0,0,8,8750,524288,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006585121154785156,0.0020515918731689453,0.0,0.0,0.012908935546875,2.6646406650543213,2.7251710891723633,2.7261745929718018,0.0,2.7085771560668945,0.0037055015563964844,0.0,0.002740621566772461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-21T03:00:12.534537,write_heavy_run3,posix,1,0,10000,10000,0,-1,1,0,0,655360000,0,9999,0,9999,0,0,8,8750,524288,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000606536865234375,0.0020859241485595703,0.0,0.0,0.004431247711181641,2.6290318965911865,2.6896889209747314,2.6911213397979736,0.0,2.6820733547210693,0.004071235656738281,0.0,0.0032663345336914062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-21T03:00:16.204329,write_heavy_run4,posix,1,0,10000,10000,0,-1,1,0,0,655360000,0,9999,0,9999,0,0,8,8750,524288,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006659030914306641,0.0022170543670654297,0.0,0.0,0.004269599914550781,2.646989107131958,2.7091548442840576,2.710509777069092,0.0,2.701052188873291,0.004357576370239258,0.0,0.0027272701263427734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-21T03:00:19.890254,write_heavy_run5,posix,1,0,10000,10000,0,-1,1,0,0,655360000,0,9999,0,9999,0,0,8,8750,524288,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000606536865234375,0.001924753189086914,0.0,0.0,0.013641595840454102,2.6664676666259766,2.7293503284454346,2.730494260787964,0.0,2.712552547454834,0.0036487579345703125,0.0,0.005345821380615234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-21T03:00:26.309917,read_heavy_run1,posix,1,10000,0,10000,0,-1,1,0,655360000,0,9999,0,9999,0,0,0,8,8750,524288,65536,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0020220279693603516,0.0025899410247802734,0.002611875534057617,2.6061487197875977,0.0,0.0,2.6200692653656006,2.6210923194885254,2.600342035293579,0.013913154602050781,0.002773761749267578,0.0037953853607177734,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-21T03:00:32.746804,read_heavy_run2,posix,1,10000,0,10000,0,-1,1,0,655360000,0,9999,0,9999,0,0,0,8,8750,524288,65536,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018651485443115234,0.002302408218383789,0.0023310184478759766,2.6781630516052246,0.0,0.0,2.6922056674957275,2.6932287216186523,2.6717097759246826,0.014033794403076172,0.0029039382934570312,0.006215095520019531,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-21T03:00:38.982013,read_heavy_run3,posix,1,10000,0,10000,0,-1,1,0,655360000,0,9999,0,9999,0,0,0,8,8750,524288,65536,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018854141235351562,0.0024406909942626953,0.002464771270751953,2.500175714492798,0.0,0.0,2.516963481903076,2.5179848670959473,2.493570566177368,0.01677870750427246,0.0031044483184814453,0.003840208053588867,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-21T03:00:45.231619,read_heavy_run4,posix,1,10000,0,10000,0,-1,1,0,655360000,0,9999,0,9999,0,0,0,8,8750,524288,65536,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019998550415039062,0.002438783645629883,0.0024650096893310547,2.5110268592834473,0.0,0.0,2.525146007537842,2.5261876583099365,2.5045433044433594,0.014111995697021484,0.002902984619140625,0.0034563541412353516,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-21T03:00:51.559478,read_heavy_run5,posix,1,10000,0,10000,0,-1,1,0,655360000,0,9999,0,9999,0,0,0,8,8750,524288,65536,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017628669738769531,0.0022788047790527344,0.0023064613342285156,2.588252544403076,0.0,0.0,2.6069183349609375,2.608393907546997,2.581793785095215,0.01865839958190918,0.0034995079040527344,0.0029125213623046875,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
