profile,POSIX_OPENS,POSIX_READS,POSIX_WRITES,POSIX_SEEKS,POSIX_MMAPS,POSIX_FSYNCS,POSIX_BYTES_READ,POSIX_BYTES_WRITTEN,POSIX_CONSEC_READS,POSIX_CONSEC_WRITES,POSIX_SEQ_READS,POSIX_SEQ_WRITES,POSIX_RW_SWITCHES,POSIX_MEM_ALIGNMENT,POSIX_FILE_NOT_ALIGNED,POSIX_FILE_ALIGNMENT,POSIX_MAX_READ_TIME_SIZE,POSIX_MAX_WRITE_TIME_SIZE,POSIX_SIZE_READ_100_1K,POSIX_SIZE_READ_1K_10K,POSIX_SIZE_READ_10K_100K,POSIX_SIZE_READ_4M_10M,POSIX_SIZE_WRITE_100_1K,POSIX_SIZE_WRITE_1K_10K,POSIX_SIZE_WRITE_10K_100K,POSIX_SIZE_WRITE_4M_10M,POSIX_STRIDE1_STRIDE,POSIX_STRIDE2_STRIDE,POSIX_STRIDE3_STRIDE,POSIX_STRIDE4_STRIDE,POSIX_STRIDE1_COUNT,POSIX_STRIDE2_COUNT,POSIX_STRIDE3_COUNT,POSIX_STRIDE4_COUNT,POSIX_F_READ_TIME,POSIX_F_WRITE_TIME,POSIX_F_META_TIME,POSIX_F_MAX_READ_TIME,POSIX_F_MAX_WRITE_TIME,POSIX_OPEN_DURATION,POSIX_READ_DURATION,POSIX_WRITE_DURATION,POSIX_CLOSE_DURATION,POSIX_READ_DENSITY,POSIX_WRITE_DENSITY,POSIX_MEAN_READ_SIZE,POSIX_MEAN_WRITE_SIZE,POSIX_SEQ_READ_RATIO,POSIX_SEQ_WRITE_RATIO,POSIX_SEEK_RATE
large_io,1.0,50.0,50.0,100.0,-1.0,1.0,524288000.0,524288000.0,49.0,49.0,49.0,49.0,1.0,8.0,0.0,524288.0,10485760.0,10485760.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.808251428604126,2.9207817554473876,0.00450377464294432,0.037010526657104435,0.0691717147827148,0.00241060256958012,1.8085511207580567,1.882360315322876,0.0019696712493896484,289893996.88553536,278667059.5879413,10485760.0,10485760.0,0.9800000000000001,0.9800000000000001,1.0
metadata_heavy,1000.0,0.0,1000.0,0.0,-1000.0,1000.0,0.0,4096000.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,524288.0,0.0,4096.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3819090366363525,1.4960993766784667,0.0,5.0067901611328125e-06,4.855981159210205,0.0,4.853705787658692,4.854108238220215,,844710.7957911728,,4096.0,,0.0,0.0
mixed_rw,1.0,5000.0,5000.0,10000.0,-1.0,1.0,327680000.0,327680000.0,4999.0,4999.0,4999.0,4999.0,7.0,8.0,8750.0,524288.0,65536.0,65536.0,0.0,0.0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.301222276687622,1.9751538276672362,0.00774831771850582,0.00472722053527826,0.01021332740783686,0.0029395580291748,2.309668350219727,2.3186009407043455,0.0032940387725831854,141892036.53562102,141344123.09409875,65536.0,65536.0,0.9998000000000001,0.9998000000000001,1.0
random_read,1.0,10000.0,0.0,10000.0,-1.0,1.0,40960000.0,0.0,1.0,0.0,4992.4,0.0,0.0,8.0,9920.6,524288.0,4096.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,12023398.4,14906163.2,16200499.2,15781888.0,3.8,3.0,2.6,2.4,1.30924334526062,0.0008870601654052,0.00503063201904292,0.00257449150085446,0.0,0.0014796733856201401,1.3141825675964356,0.0,0.0021793365478515623,31719309.855297785,,4096.0,,0.49924,,1.0
random_write,1.0,0.0,10000.0,10000.0,-1.0,1.0,0.0,40960000.0,0.0,0.6,0.0,5017.8,0.0,8.0,9920.4,524288.0,0.0,4096.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,9967206.4,11256627.2,8114995.2,11016601.6,4.2,3.6,3.0,2.8,0.0,12.23466124534607,0.006848716735839799,0.0,0.17085509300231932,0.0025518894195556397,0.0,11.85900001525879,0.0024361610412597656,,5111668.224364659,,4096.0,,0.50178,1.0
read_heavy,1.0,10000.0,0.0,10000.0,-1.0,1.0,655360000.0,0.0,9999.0,0.0,9999.0,0.0,0.0,8.0,8750.0,524288.0,65536.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.633874464035034,0.00126600265502924,0.00435557365417478,0.00557489395141596,0.0,0.00131392478942872,2.63795952796936,0.0,0.0016067504882813389,248517504.4192327,,65536.0,,0.9999,,1.0
small_io,1.0,25000.0,25000.0,50000.0,-1.0,1.0,12800000.0,12800000.0,0.6,1.2,12491.0,12532.0,1.0,8.0,49953.4,524288.0,512.0,512.0,25000.0,0.0,0.0,0.0,25000.0,0.0,0.0,0.0,4402892.8,3956838.4,8153088.0,5792870.4,4.0,3.6,3.0,3.0,2.6209060192108153,28.7637779712677,0.0136719703674316,0.0025776863098144,0.22424454689025874,0.00269246101379396,2.6328609466552715,28.605703926086427,0.0032439708709723902,4865078.701378706,456355.47316453437,512.0,512.0,0.49964000000000003,0.5012800000000001,1.0
strided_read,1.0,10000.0,0.0,10000.0,-1.0,1.0,655360000.0,0.0,0.0,0.0,9992.0,0.0,0.0,8.0,0.0,524288.0,65536.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,458752.0,0.0,0.0,0.0,9992.0,0.0,0.0,0.0,13.095344400405883,0.00105905532836908,0.00550456047058102,0.006974983215332001,0.0,0.0013490676879883,13.104333543777466,0.0,0.0017426967620849609,50032507.34112443,,65536.0,,0.9991999999999999,,1.0
strided_write,1.0,0.0,10000.0,10000.0,-1.0,1.0,0.0,655360000.0,0.0,0.0,0.0,9992.0,0.0,8.0,0.0,524288.0,0.0,65536.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,458752.0,0.0,0.0,0.0,9992.0,0.0,0.0,0.0,0.0,6.76008710861206,0.00887503623962398,0.0,0.0793951034545898,0.0030430793762207197,0.0,6.431255865097046,0.004148721694946111,,103396357.1938521,,65536.0,,0.9991999999999999,1.0
sync_heavy,1.0,0.0,10000.0,10000.0,-1.0,10001.0,0.0,655360000.0,0.0,9999.0,0.0,9999.0,0.0,8.0,8750.0,524288.0,0.0,65536.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.68050332069397,0.01084818840026852,0.0,0.00903797149658198,0.00277199745178224,0.0,114.68695492744446,0.0018723487853890219,,5724048.350071686,,65536.0,,0.9999,1.0
