profile,POSIX_OPENS,POSIX_READS,POSIX_WRITES,POSIX_SEEKS,POSIX_MMAPS,POSIX_FSYNCS,POSIX_BYTES_READ,POSIX_BYTES_WRITTEN,POSIX_CONSEC_READS,POSIX_CONSEC_WRITES,POSIX_SEQ_READS,POSIX_SEQ_WRITES,POSIX_RW_SWITCHES,POSIX_MEM_ALIGNMENT,POSIX_FILE_NOT_ALIGNED,POSIX_FILE_ALIGNMENT,POSIX_MAX_READ_TIME_SIZE,POSIX_MAX_WRITE_TIME_SIZE,POSIX_SIZE_READ_100_1K,POSIX_SIZE_READ_1K_10K,POSIX_SIZE_READ_10K_100K,POSIX_SIZE_READ_4M_10M,POSIX_SIZE_WRITE_100_1K,POSIX_SIZE_WRITE_1K_10K,POSIX_SIZE_WRITE_10K_100K,POSIX_SIZE_WRITE_4M_10M,POSIX_STRIDE1_STRIDE,POSIX_STRIDE2_STRIDE,POSIX_STRIDE3_STRIDE,POSIX_STRIDE4_STRIDE,POSIX_STRIDE1_COUNT,POSIX_STRIDE2_COUNT,POSIX_STRIDE3_COUNT,POSIX_STRIDE4_COUNT,POSIX_F_READ_TIME,POSIX_F_WRITE_TIME,POSIX_F_META_TIME,POSIX_F_MAX_READ_TIME,POSIX_F_MAX_WRITE_TIME,POSIX_OPEN_DURATION,POSIX_READ_DURATION,POSIX_WRITE_DURATION,POSIX_CLOSE_DURATION,POSIX_READ_DENSITY,POSIX_WRITE_DENSITY,POSIX_MEAN_READ_SIZE,POSIX_MEAN_WRITE_SIZE,POSIX_SEQ_READ_RATIO,POSIX_SEQ_WRITE_RATIO,POSIX_SEEK_RATE
large_io,1.0,50.0,50.0,100.0,-1.0,1.0,524288000.0,524288000.0,49.0,49.0,49.0,49.0,1.0,8.0,0.0,524288.0,10485760.0,10485760.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.805881881713867,1.8968997478485108,0.00417814254760736,0.03659706115722654,0.05705542564392084,0.0024075508117676,1.8061870098114015,1.8462825775146485,0.0016473293304444248,290273669.04434013,283999161.615603,10485760.0,10485760.0,0.9800000000000001,0.9800000000000001,1.0
metadata_heavy,1000.0,0.0,1000.0,0.0,-1000.0,1000.0,0.0,4096000.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,524288.0,0.0,4096.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.792876577377317,2.092604875564575,0.0,4.434585571289063e-06,15.37810435295105,0.0,15.375940370559693,15.368306064605713,,266527.4442282843,,4096.0,,0.0,0.0
mixed_rw,1.0,5000.0,5000.0,10000.0,-1.0,1.0,327680000.0,327680000.0,4999.0,4999.0,4999.0,4999.0,7.0,8.0,8750.0,524288.0,65536.0,65536.0,0.0,0.0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3206382274627686,1.3765780448913574,0.0058292388916015,0.00493307113647456,0.01066117286682124,0.00260004997253418,2.323374843597412,2.325348997116089,0.0018168449401856357,141074820.1124459,140942468.36194077,65536.0,65536.0,0.9998000000000001,0.9998000000000001,1.0
random_read,1.0,10000.0,0.0,10000.0,-1.0,1.0,40960000.0,0.0,1.0,0.0,4974.6,0.0,0.0,8.0,9924.4,524288.0,4096.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,8010956.8,4540006.4,15896576.0,12131532.8,4.4,3.6,3.0,2.8,1.975364589691162,0.017414379119873,0.0044073104858398,0.00251092910766596,0.0,0.0012989521026611401,1.980660581588745,0.0,0.0016777992248536932,21017327.67263521,,4096.0,,0.49746000000000007,,1.0
random_write,1.0,0.0,10000.0,10000.0,-1.0,1.0,0.0,40960000.0,0.0,0.6,0.0,4997.2,0.0,8.0,9925.8,524288.0,0.0,4096.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,9704243.2,12896665.6,12577177.6,12277350.4,4.0,3.4,3.2,3.0,0.0,15.28506064414978,0.00868749618530266,0.0,0.2123796939849853,0.00261759757995604,0.0,15.26188702583313,0.004160165786743874,,2893789.6370568983,,4096.0,,0.49972000000000005,1.0
read_heavy,1.0,10000.0,0.0,10000.0,-1.0,1.0,655360000.0,0.0,9999.0,0.0,9999.0,0.0,0.0,8.0,8750.0,524288.0,65536.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5817479610443117,0.0183226108551025,0.00444893836975092,0.00470252037048334,0.0,0.00127611160278322,2.586029577255249,0.0,0.0016376018524169923,253497724.69388852,,65536.0,,0.9999,,1.0
small_io,1.0,25000.0,25000.0,50000.0,-1.0,1.0,12800000.0,12800000.0,0.4,0.6,12512.6,12494.6,1.0,8.0,49950.8,524288.0,512.0,512.0,25000.0,0.0,0.0,0.0,25000.0,0.0,0.0,0.0,9232179.2,10398924.8,6176563.2,6211993.6,4.0,3.2,3.0,2.8,2.329369068145752,39.962826585769655,0.012751388549804621,0.019866943359374938,0.22028756141662592,0.0031856536865234202,2.3408164978027344,39.966399097442626,0.0016302108764648438,5477513.882492329,380434.2754141468,512.0,512.0,0.5005040000000001,0.499784,1.0
strided_read,1.0,10000.0,0.0,10000.0,-1.0,1.0,655360000.0,0.0,0.0,0.0,9992.0,0.0,0.0,8.0,0.0,524288.0,65536.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,458752.0,0.0,0.0,0.0,9992.0,0.0,0.0,0.0,12.484786987304688,0.015670204162597602,0.00579409599304196,0.007265281677246041,0.0,0.0015140056610107601,12.49366250038147,0.0,0.0018677711486819958,52493381.92669313,,65536.0,,0.9991999999999999,,1.0
strided_write,1.0,0.0,10000.0,10000.0,-1.0,1.0,0.0,655360000.0,0.0,0.0,0.0,9992.0,0.0,8.0,0.0,524288.0,0.0,65536.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,458752.0,0.0,0.0,0.0,9992.0,0.0,0.0,0.0,0.0,8.489831924438477,0.00688872337341304,0.0,0.08949785232543939,0.00293078422546384,0.0,8.474865436553955,0.0021461486816409803,,78881110.24791719,,65536.0,,0.9991999999999999,1.0
sync_heavy,1.0,0.0,10000.0,10000.0,-1.0,10001.0,0.0,655360000.0,0.0,9999.0,0.0,9999.0,0.0,8.0,8750.0,524288.0,0.0,65536.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.59102187156677,0.01040773391723628,0.0,0.0146769523620605,0.00430889129638672,0.0,71.60171656608581,0.001681375503540039,,9152910.264024716,,65536.0,,0.9999,1.0
