host,target_id,media,workload,runs,bw_mib_s_median,bw_mib_s_min,bw_mib_s_max,iops_median,iops_min,iops_max,clat_mean_ms_median,clat_p99_ms_median,byte_limit_runs,time_limit_runs
colva1,101,hdd,rand_read_128k,5,42.439297676086426,42.045000076293945,42.55774688720703,339.514385,336.360008,340.461976,94.14136198794999,526.385152,0,5
colva1,101,hdd,rand_read_4k,5,1.7571067810058594,1.7357492446899414,1.7750244140625,449.819507,444.352021,454.406309,71.08335850266201,383.778816,0,5
colva1,101,hdd,rand_write_4k,5,1.8260507583618164,1.7973957061767578,1.849832534790039,467.469117,460.133526,473.557172,68.39460383393299,101.187584,0,5
colva1,101,hdd,seq_read,5,187.84854698181152,179.27798557281494,188.50210762023926,187.848547,179.277986,188.502108,170.132097490821,204.47232,5,0
colva1,101,hdd,seq_write,5,189.49277305603027,188.89155292510986,189.69988822937012,189.492774,188.891553,189.699889,168.66730567627002,227.540992,5,0
colva1,102,hdd,rand_read_128k,5,41.83224678039551,41.61613464355469,42.09781074523926,334.657976,332.929078,336.782487,95.507657066329,541.065216,0,5
colva1,102,hdd,rand_read_4k,5,1.7577276229858398,1.7313365936279297,1.7754440307617188,449.978396,443.222285,454.513687,71.054301472541,375.390208,0,5
colva1,102,hdd,rand_write_4k,5,1.7981815338134766,1.7867460250854492,1.8189277648925781,460.334637,457.40704,465.645551,69.455666542097,93.847552,0,5
colva1,102,hdd,seq_read,5,179.174467086792,173.22461605072021,179.96801280975342,179.174468,173.224617,179.968013,178.431124642578,608.17408,5,0
colva1,102,hdd,seq_write,5,180.31343460083008,180.06295108795166,180.81969165802002,180.313435,180.062952,180.819692,177.262220065137,248.512512,5,0
colva1,103,hdd,rand_read_128k,5,40.58158206939697,40.2707576751709,41.24184989929199,324.652662,322.166063,329.934801,98.453376350908,557.842432,0,5
colva1,103,hdd,rand_read_4k,5,1.7299575805664062,1.7048578262329102,1.755681037902832,442.869266,436.443779,449.454461,72.198795486511,392.167424,0,5
colva1,103,hdd,rand_write_4k,5,1.7879934310913086,1.7810182571411133,1.8017587661743164,457.726433,455.940866,461.250312,69.853689517875,94.896128,0,5
colva1,103,hdd,seq_read,5,163.91182231903076,160.12957859039307,164.9277286529541,163.911823,160.129579,164.927729,195.05709349609802,1619.001344,0,5
colva1,103,hdd,seq_write,5,166.42299365997314,164.49007987976074,166.54482555389404,166.422994,164.490081,166.544826,192.07784030068902,252.706816,0,5
colva1,104,nvme,rand_read_128k,5,5375.32808303833,5352.848927497864,5403.6939306259155,43002.624672,42822.791427,43229.551451,0.7346272698,3.391488,5,0
colva1,104,nvme,rand_read_4k,5,1623.335446357727,1622.8209190368652,1627.2048301696777,415573.874445,415442.155309,416564.436676,0.074979640257,0.111104,5,0
colva1,104,nvme,rand_write_4k,5,1170.5532684326172,1167.2175989151,1171.624713897705,299661.636946,298807.70546,299935.926773,0.103983131046,0.132096,5,0
colva1,104,nvme,seq_read,5,2213.097038269043,2212.140851020813,6538.952745437622,2213.097039,2212.140851,6538.952746,14.274535750488003,14.483456,5,0
colva1,104,nvme,seq_write,5,4680.073125839233,4660.901228904724,4906.56444644928,4680.073126,4660.901229,4906.564447,6.751933789648,10.81344,5,0
colva1,105,nvme,rand_read_128k,5,5375.32808303833,5336.112558364868,5499.462942123413,43002.624672,42688.900469,43995.703545,0.73428242478,3.325952,5,0
colva1,105,nvme,rand_read_4k,5,1626.6878471374512,1625.396824836731,1631.092703819275,416432.088959,416101.587302,417559.732399,0.07482944486,0.111104,5,0
colva1,105,nvme,rand_write_4k,5,1156.4088077545166,1153.2830266952515,1158.6331748962402,296040.654997,295240.455006,296610.092781,0.105252304237,0.134144,5,0
colva1,105,nvme,seq_read,5,2213.097038269043,2212.140851020813,6653.671215057373,2213.097039,2212.140851,6653.671215,14.268484607617,14.483456,5,0
colva1,105,nvme,seq_write,5,4675.79908657074,4658.780709266663,4890.16236782074,4675.799087,4658.78071,4890.162369,6.757468639844,10.81344,5,0
colva1,106,nvme,rand_read_128k,5,5372.507869720459,5336.112558364868,5395.152791976929,42980.062959,42688.900469,43161.222339,0.735440639258,3.35872,5,0
colva1,106,nvme,rand_read_4k,5,1631.3525562286377,1626.1711921691895,1634.2164058685303,417626.25458,416299.825314,418359.399936,0.074611698609,0.111104,5,0
colva1,106,nvme,rand_write_4k,5,1154.5833797454834,1149.528512954712,1163.7686100006104,295573.34536,294279.299506,297924.764178,0.105426070756,0.136192,5,0
colva1,106,nvme,seq_read,5,2212.6188411712646,2212.140851020813,6645.035690307617,2212.618842,2212.140851,6645.035691,14.276431290625,14.483456,5,0
colva1,106,nvme,seq_write,5,4680.073125839233,4677.935130119324,4890.16236782074,4680.073126,4677.93513,4890.162369,6.751269357031,10.81344,5,0
colva1,107,nvme,rand_read_128k,5,5358.451072692871,5347.258484840393,5383.8065185546875,42867.608582,42778.067885,43070.452156,0.736215718323,3.325952,5,0
colva1,107,nvme,rand_read_4k,5,1620.7660646438599,1616.6719284057617,1625.396824836731,414916.112694,413868.013893,416101.587302,0.075091122961,0.111104,5,0
colva1,107,nvme,rand_write_4k,5,1153.6728248596191,1150.3033018112183,1160.7345266342163,295340.243353,294477.645473,297148.038993,0.105517719739,0.13824,5,0
colva1,107,nvme,seq_read,5,2213.097038269043,2210.230951309204,6662.329212188721,2213.097039,2210.230952,6662.329213,14.267344310936998,14.483456,5,0
colva1,107,nvme,seq_write,5,4677.935130119324,4667.274384498596,4894.837475776672,4677.93513,4667.274385,4894.837476,6.751376605371,10.81344,5,0
colva2,201,hdd,rand_read_128k,5,40.958560943603516,40.674866676330566,41.185102462768555,327.66849,325.398936,329.480826,97.591774118752,549.453824,0,5
colva2,201,hdd,rand_read_4k,5,1.7402992248535156,1.7234220504760742,1.7462882995605469,445.516714,441.196046,447.049824,71.783103091238,396.361728,0,5
colva2,201,hdd,rand_write_4k,5,1.6967945098876953,1.686396598815918,1.7054519653320312,434.379577,431.717548,436.595801,73.633000964177,99.090432,0,5
colva2,201,hdd,seq_read,5,163.8508176803589,155.66076850891113,164.9748296737671,163.850818,155.660769,164.97483,195.088055514145,442.499072,0,5
colva2,201,hdd,seq_write,5,166.68604469299316,165.5013198852539,166.8023862838745,166.686046,165.50132,166.802386,191.616097810663,242.221056,0,5
colva2,202,hdd,rand_read_128k,5,40.22556018829346,39.645809173583984,40.391714096069336,321.804486,317.166475,323.13372,99.372261343202,566.23104,0,5
colva2,202,hdd,rand_read_4k,5,1.6954278945922852,1.6863746643066406,1.7085981369018555,434.029742,431.711981,437.401215,73.68204860372501,400.556032,0,5
colva2,202,hdd,rand_write_4k,5,1.6824121475219727,1.665949821472168,1.7016115188598633,430.69752,426.483319,435.612744,74.259587611781,106.430464,0,5
colva2,202,hdd,seq_read,5,166.101806640625,164.67831897735596,166.87711811065674,166.101808,164.67832,166.877118,192.461066668834,235.9296,0,5
colva2,202,hdd,seq_write,5,167.8185739517212,166.89368724822998,168.05675506591797,167.818575,166.893688,168.056755,190.31757738926802,242.221056,0,5
colva2,203,hdd,rand_read_128k,5,41.34165954589844,41.2349910736084,41.49417209625244,330.733281,329.879935,331.953381,96.690548287439,541.065216,0,5
colva2,203,hdd,rand_read_4k,5,1.7574481964111328,1.741236686706543,1.7650470733642578,449.906834,445.756679,451.852222,71.081668978552,383.778816,0,5
colva2,203,hdd,rand_write_4k,5,1.674729347229004,1.6631450653076172,1.6839618682861328,428.730772,425.765243,431.094465,74.60163783827201,105.381888,0,5
colva2,203,hdd,seq_read,5,164.960786819458,164.87770748138428,165.80267810821533,164.960787,164.877708,165.802678,193.784180945909,221.249536,0,5
colva2,203,hdd,seq_write,5,167.00448513031006,166.140606880188,167.33941268920898,167.004486,166.140607,167.339413,191.24989875975,238.026752,0,5
colva2,204,hdd,rand_read_128k,5,40.88936519622803,40.63907337188721,41.20527362823486,327.114924,325.112592,329.642192,97.75569816193999,557.842432,0,5
colva2,204,hdd,rand_read_4k,5,1.7284212112426758,1.7192668914794922,1.7490472793579102,442.475962,440.132356,447.756229,72.278180757735,392.167424,0,5
colva2,204,hdd,rand_write_4k,5,1.6680259704589844,1.6581840515136719,1.6762990951538086,427.014854,424.495164,429.132679,74.90454033543999,104.333312,0,5
colva2,204,hdd,seq_read,5,166.30673122406006,157.38325786590576,167.62189483642578,166.306731,157.383258,167.621896,192.239789975426,354.418688,0,5
colva2,204,hdd,seq_write,5,168.79081344604492,167.85156631469727,168.82404708862305,168.790814,167.851566,168.824047,189.22455811144,238.026752,0,5
colva2,205,nvme,rand_read_128k,5,5375.32808303833,5364.06495475769,5403.6939306259155,43002.624672,42912.519644,43229.551451,0.734315439551,3.35872,5,0
colva2,205,nvme,rand_read_4k,5,2154.4287815093994,2145.8507957458496,2156.6975564956665,551533.768146,549337.803856,552114.574558,0.056531395490000004,0.10496,5,0
colva2,205,nvme,rand_write_4k,5,1382.4760360717773,1370.4496784210205,1386.5944480895996,353913.865263,350835.117773,354968.178741,0.087988598059,0.117248,5,0
colva2,205,nvme,seq_read,5,2212.6188411712646,2211.6630668640137,6243.902438163757,2212.618842,2211.663067,6243.902439,14.354827165039,14.614528,5,0
colva2,205,nvme,seq_write,5,4660.901228904724,4648.206990242004,4688.644688606262,4660.901229,4648.20699,4688.644689,6.778126282617,10.944512,5,0
colva2,206,nvme,rand_read_128k,5,5372.507869720459,5364.06495475769,5406.546990394592,42980.062959,42912.519644,43252.375924,0.735273425037,3.325952,5,0
colva2,206,nvme,rand_read_4k,5,2163.0756225585938,2151.260503768921,2164.4472618103027,553747.359527,550722.689076,554098.49926,0.056313034535,0.10496,5,0
colva2,206,nvme,rand_write_4k,5,1385.4688129425049,1378.3820161819458,1391.8716859817505,354680.016236,352865.796204,356319.151828,0.087807548157,0.114176,5,0
colva2,206,nvme,seq_read,5,2212.6188411712646,2212.140851020813,6236.297198295593,2212.618842,2212.140851,6236.297199,14.34340160127,14.614528,5,0
colva2,206,nvme,seq_write,5,4680.073125839233,4669.40264415741,4682.213076591492,4680.073126,4669.402645,4682.213077,6.751884722559001,11.075584,5,0
colva2,207,nvme,rand_read_128k,5,5378.151260375977,5366.876309394836,5406.546990394592,43025.210084,42935.010482,43252.375924,0.734499775232,3.35872,5,0
colva2,207,nvme,rand_read_4k,5,2135.557872772217,2121.4004554748535,2141.811336517334,546702.815433,543078.516677,548303.702154,0.057031820035,0.10496,5,0
colva2,207,nvme,rand_write_4k,5,1371.1837167739868,1364.6055431365967,1380.7982730865479,351023.031601,349339.01919,353484.358145,0.088741435176,0.117248,5,0
